Longitude,Latitude,Pixel,Scan
221.909032,-89.1968753,0,0
221.970412,-89.1969023,100,0
222.031805,-89.1969284,200,0
222.093211,-89.1969535,300,0
222.154631,-89.1969778,400,0
222.216063,-89.1970011,500,0
222.277508,-89.1970234,600,0
222.338966,-89.1970449,700,0
222.400437,-89.1970654,800,0
222.46192,-89.197085,900,0
222.523415,-89.1971037,1000,0
222.584922,-89.1971215,1100,0
222.646441,-89.1971383,1200,0
222.707972,-89.1971542,1300,0
222.769515,-89.1971692,1400,0
222.83107,-89.1971833,1500,0
222.892636,-89.1971964,1600,0
222.954213,-89.1972086,1700,0
223.015801,-89.1972199,1800,0
223.077401,-89.1972302,1900,0
223.139011,-89.1972396,2000,0
223.200632,-89.1972481,2100,0
223.262264,-89.1972557,2200,0
223.323906,-89.1972623,2300,0
223.385558,-89.197268,2400,0
223.447221,-89.1972727,2500,0
223.508894,-89.1972766,2600,0
223.570577,-89.1972795,2700,0
223.632269,-89.1972814,2800,0
223.693971,-89.1972825,2900,0
223.755683,-89.1972826,3000,0
223.817404,-89.1972817,3100,0
223.879134,-89.19728,3200,0
223.940873,-89.1972773,3300,0
224.002621,-89.1972736,3400,0
224.064378,-89.1972691,3500,0
224.126144,-89.1972635,3600,0
224.187918,-89.1972571,3700,0
224.2497,-89.1972497,3800,0
224.311491,-89.1972414,3900,0
224.37329,-89.1972321,4000,0
224.435096,-89.1972219,4100,0
224.496911,-89.1972108,4200,0
224.558733,-89.1971987,4300,0
224.620563,-89.1971857,4400,0
224.6824,-89.1971718,4500,0
224.744244,-89.1971569,4600,0
224.806095,-89.197141,4700,0
224.867954,-89.1971243,4800,0
224.929819,-89.1971066,4900,0
224.991691,-89.1970879,5000,0
225.053569,-89.1970683,5100,0
225.115454,-89.1970478,5200,0
225.177344,-89.1970263,5300,0
225.239241,-89.1970039,5400,0
225.301144,-89.1969805,5500,0
225.363053,-89.1969562,5600,0
225.424967,-89.1969309,5700,0
225.486887,-89.1969047,5800,0
225.548812,-89.1968776,5900,0
225.610743,-89.1968495,6000,0
225.672678,-89.1968205,6100,0
225.734619,-89.1967905,6200,0
225.796564,-89.1967596,6300,0
225.858514,-89.1967277,6400,0
225.920468,-89.1966949,6500,0
225.982427,-89.1966611,6600,0
226.04439,-89.1966264,6700,0
226.106357,-89.1965907,6800,0
226.168328,-89.1965541,6900,0
226.230303,-89.1965166,7000,0
226.292281,-89.1964781,7100,0
226.354263,-89.1964386,7200,0
226.416248,-89.1963982,7300,0
226.478237,-89.1963568,7400,0
226.540228,-89.1963145,7500,0
226.602222,-89.1962713,7600,0
226.66422,-89.1962271,7700,0
226.726219,-89.1961819,7800,0
226.788222,-89.1961358,7900,0
226.850226,-89.1960888,8000,0
226.912233,-89.1960408,8100,0
226.974242,-89.1959918,8200,0
227.036253,-89.1959419,8300,0
227.098265,-89.195891,8400,0
227.160279,-89.1958392,8500,0
227.222295,-89.1957865,8600,0
227.284312,-89.1957327,8700,0
227.34633,-89.1956781,8800,0
227.408349,-89.1956224,8900,0
227.470369,-89.1955659,9000,0
227.532389,-89.1955083,9100,0
227.594411,-89.1954498,9200,0
227.656432,-89.1953904,9300,0
227.718454,-89.19533,9400,0
227.780477,-89.1952687,9500,0
227.842499,-89.1952064,9600,0
227.904521,-89.1951431,9700,0
227.966543,-89.1950789,9800,0
228.028564,-89.1950137,9900,0
228.090585,-89.1949476,10000,0
228.152605,-89.1948805,10100,0
228.214624,-89.1948125,10200,0
228.276643,-89.1947435,10300,0
228.33866,-89.1946735,10400,0
228.400676,-89.1946026,10500,0
228.46269,-89.1945307,10600,0
228.524703,-89.1944579,10700,0
228.586714,-89.1943841,10800,0
228.648723,-89.1943094,10900,0
228.71073,-89.1942337,11000,0
228.772735,-89.194157,11100,0
228.834738,-89.1940794,11200,0
228.896738,-89.1940008,11300,0
228.958736,-89.1939213,11400,0
229.020731,-89.1938408,11500,0
229.082723,-89.1937594,11600,0
229.144712,-89.193677,11700,0
229.206698,-89.1935936,11800,0
229.26868,-89.1935093,11900,0
229.33004,-89.1934248,11999,0
221.903721,-89.1977059,0,100
221.965164,-89.197733,100,100
222.02662,-89.1977591,200,100
222.08809,-89.1977843,300,100
222.149572,-89.1978086,400,100
222.211068,-89.197832,500,100
222.272577,-89.1978544,600,100
222.334098,-89.197876,700,100
222.395632,-89.1978966,800,100
222.457178,-89.1979163,900,100
222.518736,-89.197935,1000,100
222.580307,-89.1979528,1100,100
222.64189,-89.1979697,1200,100
222.703485,-89.1979857,1300,100
222.765091,-89.1980008,1400,100
222.826709,-89.1980149,1500,100
222.888338,-89.1980281,1600,100
222.949979,-89.1980403,1700,100
223.011631,-89.1980517,1800,100
223.073294,-89.1980621,1900,100
223.134968,-89.1980716,2000,100
223.196653,-89.1980801,2100,100
223.258349,-89.1980877,2200,100
223.320055,-89.1980944,2300,100
223.381771,-89.1981002,2400,100
223.443497,-89.198105,2500,100
223.505234,-89.1981089,2600,100
223.56698,-89.1981118,2700,100
223.628737,-89.1981138,2800,100
223.690503,-89.1981149,2900,100
223.752278,-89.1981151,3000,100
223.814063,-89.1981143,3100,100
223.875857,-89.1981126,3200,100
223.93766,-89.1981099,3300,100
223.999472,-89.1981063,3400,100
224.061293,-89.1981018,3500,100
224.123123,-89.1980963,3600,100
224.184961,-89.1980899,3700,100
224.246807,-89.1980826,3800,100
224.308662,-89.1980743,3900,100
224.370525,-89.1980651,4000,100
224.432395,-89.198055,4100,100
224.494274,-89.1980439,4200,100
224.55616,-89.1980318,4300,100
224.618054,-89.1980189,4400,100
224.679955,-89.1980049,4500,100
224.741863,-89.1979901,4600,100
224.803779,-89.1979743,4700,100
224.865701,-89.1979575,4800,100
224.927631,-89.1979399,4900,100
224.989566,-89.1979212,5000,100
225.051509,-89.1979017,5100,100
225.113458,-89.1978812,5200,100
225.175413,-89.1978597,5300,100
225.237374,-89.1978373,5400,100
225.299341,-89.197814,5500,100
225.361314,-89.1977897,5600,100
225.423292,-89.1977645,5700,100
225.485276,-89.1977383,5800,100
225.547266,-89.1977112,5900,100
225.60926,-89.1976831,6000,100
225.67126,-89.1976541,6100,100
225.733265,-89.1976241,6200,100
225.795274,-89.1975932,6300,100
225.857288,-89.1975614,6400,100
225.919307,-89.1975286,6500,100
225.98133,-89.1974948,6600,100
226.043357,-89.1974601,6700,100
226.105388,-89.1974245,6800,100
226.167424,-89.1973879,6900,100
226.229463,-89.1973503,7000,100
226.291505,-89.1973119,7100,100
226.353551,-89.1972724,7200,100
226.415601,-89.197232,7300,100
226.477653,-89.1971907,7400,100
226.539709,-89.1971484,7500,100
226.601768,-89.1971051,7600,100
226.663829,-89.1970609,7700,100
226.725893,-89.1970158,7800,100
226.787959,-89.1969697,7900,100
226.850028,-89.1969226,8000,100
226.912099,-89.1968746,8100,100
226.974172,-89.1968257,8200,100
227.036247,-89.1967758,8300,100
227.098324,-89.1967249,8400,100
227.160402,-89.1966731,8500,100
227.222482,-89.1966203,8600,100
227.284563,-89.1965666,8700,100
227.346645,-89.1965119,8800,100
227.408728,-89.1964563,8900,100
227.470812,-89.1963997,9000,100
227.532897,-89.1963422,9100,100
227.594983,-89.1962837,9200,100
227.657068,-89.1962242,9300,100
227.719155,-89.1961638,9400,100
227.781241,-89.1961025,9500,100
227.843327,-89.1960401,9600,100
227.905413,-89.1959769,9700,100
227.967499,-89.1959126,9800,100
228.029585,-89.1958474,9900,100
228.091669,-89.1957813,10000,100
228.153754,-89.1957142,10100,100
228.215837,-89.1956461,10200,100
228.277919,-89.1955771,10300,100
228.34,-89.1955072,10400,100
228.40208,-89.1954362,10500,100
228.464158,-89.1953643,10600,100
228.526235,-89.1952915,10700,100
228.58831,-89.1952177,10800,100
228.650383,-89.1951429,10900,100
228.712454,-89.1950672,11000,100
228.774523,-89.1949905,11100,100
228.836589,-89.1949129,11200,100
228.898653,-89.1948343,11300,100
228.960715,-89.1947547,11400,100
229.022774,-89.1946742,11500,100
229.084829,-89.1945927,11600,100
229.146882,-89.1945103,11700,100
229.208932,-89.1944269,11800,100
229.270978,-89.1943425,11900,100
229.3324,-89.194258,11999,100
221.898399,-89.1985364,0,200
221.959905,-89.1985636,100,200
222.021425,-89.1985898,200,200
222.082958,-89.1986151,300,200
222.144504,-89.1986395,400,200
222.206063,-89.1986629,500,200
222.267635,-89.1986854,600,200
222.329219,-89.198707,700,200
222.390817,-89.1987277,800,200
222.452427,-89.1987475,900,200
222.514049,-89.1987663,1000,200
222.575683,-89.1987842,1100,200
222.637329,-89.1988012,1200,200
222.698988,-89.1988172,1300,200
222.760658,-89.1988323,1400,200
222.822339,-89.1988465,1500,200
222.884033,-89.1988598,1600,200
222.945737,-89.1988721,1700,200
223.007453,-89.1988835,1800,200
223.06918,-89.198894,1900,200
223.130918,-89.1989035,2000,200
223.192666,-89.1989121,2100,200
223.254426,-89.1989198,2200,200
223.316195,-89.1989265,2300,200
223.377976,-89.1989323,2400,200
223.439766,-89.1989372,2500,200
223.501566,-89.1989412,2600,200
223.563377,-89.1989442,2700,200
223.625197,-89.1989462,2800,200
223.687027,-89.1989474,2900,200
223.748867,-89.1989476,3000,200
223.810715,-89.1989469,3100,200
223.872573,-89.1989452,3200,200
223.934441,-89.1989426,3300,200
223.996317,-89.198939,3400,200
224.058202,-89.1989346,3500,200
224.120096,-89.1989291,3600,200
224.181998,-89.1989228,3700,200
224.243908,-89.1989155,3800,200
224.305827,-89.1989073,3900,200
224.367754,-89.1988981,4000,200
224.429689,-89.198888,4100,200
224.491632,-89.1988769,4200,200
224.553582,-89.1988649,4300,200
224.61554,-89.198852,4400,200
224.677506,-89.1988381,4500,200
224.739478,-89.1988233,4600,200
224.801458,-89.1988075,4700,200
224.863445,-89.1987908,4800,200
224.925438,-89.1987732,4900,200
224.987438,-89.1987546,5000,200
225.049445,-89.198735,5100,200
225.111458,-89.1987146,5200,200
225.173477,-89.1986931,5300,200
225.235503,-89.1986708,5400,200
225.297534,-89.1986475,5500,200
225.359571,-89.1986232,5600,200
225.421614,-89.198598,5700,200
225.483662,-89.1985719,5800,200
225.545716,-89.1985448,5900,200
225.607775,-89.1985167,6000,200
225.669839,-89.1984877,6100,200
225.731908,-89.1984578,6200,200
225.793982,-89.1984269,6300,200
